High,Volume,Date
69.86060717517675,194994800,2020-04-14
69.39527634714266,131154400,2020-04-15
69.84849644250897,157125200,2020-04-16
69.54553862943841,215250000,2020-04-17
68.26829630867668,130015200,2020-04-20
67.19464143835056,180991600,2020-04-21
67.35216356380498,116862400,2020-04-22
68.28526070625729,124814400,2020-04-23
68.59063676429346,126161200,2020-04-24
68.96145104694212,117087600,2020-04-27
69.27410181526112,112004800,2020-04-28
70.20475456681409,137280800,2020-04-29
71.3826376879092,183064000,2020-04-30
72.46600172757337,240616800,2020-05-01
71.17906454911665,133568000,2020-05-04
72.95071986963468,147751200,2020-05-05
73.49360499399509,142333600,2020-05-06
73.9613663577404,115215200,2020-05-07
75.42040745275091,133838400,2020-05-08
77.04862158939132,145946400,2020-05-11
77.69017607011091,162301200,2020-05-12
76.78131490249868,200622400,2020-05-13
75.28431846247351,158929200,2020-05-14
74.8250206182074,166348400,2020-05-15
76.9149820882663,135178400,2020-05-18
77.40585342154391,101729600,2020-05-19
77.64887695753947,111504800,2020-05-20
77.98181472796601,102688800,2020-05-21
77.57840592683334,81803200,2020-05-22
78.79591020427941,125522000,2020-05-26
77.45204814265487,112945200,2020-05-27
78.6015006101808,133560800,2020-05-28
78.0449911609041,153532400,2020-05-29
78.33661941527829,80791200,2020-06-01
78.60150505310432,87642800,2020-06-02
79.27223605785474,104491200,2020-06-03
79.1312690763083,87560400,2020-06-04
80.62097312386399,137250400,2020-06-05
81.07057078079636,95654400,2020-06-08
83.98919920003063,147712400,2020-06-09
86.21522204655183,166651600,2020-06-10
85.31364412865861,201662400,2020-06-11
84.52139908925585,200146000,2020-06-12
84.00620266393342,138808800,2020-06-15
85.83370902956554,165428800,2020-06-16
86.36832365901888,114406400,2020-06-17
85.89446863409366,96820400,2020-06-18
86.65023617971444,264476000,2020-06-19
87.35499583192716,135445200,2020-06-22
90.49477263698164,212155600,2020-06-23
89.62234460688504,192623200,2020-06-24
88.70130583433298,137522400,2020-06-25
88.77907450051282,205256800,2020-06-26
88.01357302520984,130646000,2020-06-29
88.93947601743045,140223200,2020-06-30
89.27483740277849,110737200,2020-07-01
90.03062510995592,114041600,2020-07-02
91.3210265412658,118655600,2020-07-06
92.01120488127154,112424400,2020-07-07
92.7110901974212,117092000,2020-07-08
93.62725502908616,125642800,2020-07-09
93.29919680465662,90257200,2020-07-10
97.1631783276675,191649200,2020-07-13
94.53858170931154,170989200,2020-07-14
96.47543496831663,153198000,2020-07-15
94.684381064222,110577600,2020-07-16
94.43408983970497,92186800,2020-07-17
95.74880452196624,90318000,2020-07-20
96.47785829760365,103433200,2020-07-21
95.2384656972648,89001600,2020-07-22
94.36602737751308,197004400,2020-07-23
90.3732478217121,185438800,2020-07-24
92.2542206187511,121214000,2020-07-27
91.90914086643645,103625600,2020-07-28
92.57014778095314,90329200,2020-07-29
93.60783733719364,158130000,2020-07-30
103.44274565146054,374336800,2020-07-31
