Close,High,Low,Open,Volume,Target
134.5612030029297,136.1851436237319,131.65778627775248,135.08283314259847,98964500,1
177.45498657226562,177.51446959158443,174.2923416030924,175.29367439346143,42390800,0
139.40428161621094,140.98965464191818,138.64095994672076,140.67648937620848,121434600,0
85.44242858886719,86.36832365901888,85.32091997161581,86.3075693503932,114406400,1
228.985092163086,232.1041333637585,228.07829123837303,229.29401907737392,51906300,0
134.03167724609375,134.47205285044467,132.96497108839114,133.2585598021392,63261400,0
112.3011245727539,113.86897819384106,109.26279802021776,109.42835336524011,146129200,1
118.59310913085938,119.755693282019,117.94831975836384,118.84712067934996,80819200,1
133.72462463378906,134.8958370832566,131.21490083390682,131.31331283551427,81000500,1
208.2958526611328,212.5061577637865,195.08762024216463,198.1632326509201,119548600,0
59.5045166015625,62.5897733176163,59.208835672807325,60.77206450877943,303602000,1
